Uporabnisko ime,Handle,Cas,Body,Retweet,Reply,Likes
Elon Musk,@elonmusk,2023-04-09 06:07:02,"Starship is ready for launch 

Awaiting regulatory approval","9,416","6,821",88.9K
Elon Musk,@elonmusk,2023-04-09 01:26:49,I’m proudly half Canadian! ,10.1K,"7,818",197.9K
Elon Musk,@elonmusk,2023-04-09 00:32:27,"Friendship takes work, enmity is effortless",17.3K,"7,418",108.7K
Elon Musk,@elonmusk,2023-04-08 01:00:18,Caused by expired ground station cert. We’re scrubbing the system for other single-point vulnerabilities.,"1,321","1,351",16.7K
Elon Musk,@elonmusk,2023-04-08 00:58:10,"Sorry, slight glitch with 
@SpaceX
 Starlink. Coming back online now.","3,348","3,157",44.6K
Elon Musk,@elonmusk,2023-04-07 20:37:32,"Replying to 
@TitterDaily This will be great for reducing impersonation risk","3,021","5,401",37.9K
T(w)itter Daily News ,@TitterDaily,2023-04-07 20:09:24,NEWS: Fmr President Obama gets an affiliate badge on Twitter  ,"2,326","1,876",21.5K
SpaceX,@SpaceX,2023-04-07 16:04:46,"Falcon 9 launches 
@INTELSAT
 IS-40e to orbit ","3,613","1,278",26.9K
SpaceX,@SpaceX,2023-04-07 05:03:25,"Deployment of 
@Intelsat
 IS-40e confirmed ","3,276","1,479",26.7K
SpaceX,@SpaceX,2023-04-07 04:40:52,Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship ,"2,786",912,23.8K
SpaceX,@SpaceX,2023-04-07 04:30:48,"Liftoff! 0:21
681.3K views","2,804",734,22.8K
Community Notes,@CommunityNotes,2023-04-07 01:51:43,"¡Hola  y ! ¡Oi ! Welcome to all the new contributors in Mexico, Spain and Portugal - we're glad to have you here.","1,050",637,"9,647"
Elon Musk,@elonmusk,2023-04-06 21:52:44,"Starship is stacked & ready to launch next week, pending regulatory approval SpaceX
@SpaceX
·
Apr 6
Starship fully stacked at Starbase. Team is working towards a launch rehearsal next week followed by Starship’s first integrated flight test ~week later pending regulatory approval",10.8K,"6,635",85.8K
Elon Musk,@elonmusk,2023-04-06 07:10:55,Starship preparing for launch   ,25.2K,12.6K,230.3K
Tesla,@Tesla,2023-04-06 00:04:54,"Tesla Master Plan, Part 3 → tesla.com
Master Plan Part 3 | Tesla","4,678","1,554",25.2K
Elon Musk,@elonmusk,2023-04-04 23:15:03,Summary of argument against AI safety ,20.1K,12.5K,205.6K
Elon Musk,@elonmusk,2023-04-04 18:52:32,If the Dem Party had a time machine ,60.5K,18K,553.7K
Elon Musk,@elonmusk,2023-04-03 20:17:23,I wish the media would stop flattering me all time … it’s a bit much guys ,18.1K,19K,291.7K
Elon Musk,@elonmusk,2023-04-03 19:44:24,As promised ,72.7K,26.2K,765.2K
Elon Musk,@elonmusk,2023-04-03 13:29:00,They should really get rid of that 100 IQ maximum limit for creating an account on Instagram,16.8K,13.6K,199.9K
Elon Musk,@elonmusk,2023-04-03 02:08:44,MetamorphosisAI ,36.7K,"9,709",429.7K
Elon Musk,@elonmusk,2023-04-02 21:58:49,"Credit to Tim Sweeney for realizing this before me Tim Sweeney
@TimSweeneyEpic
·
Feb 22, 2020
Replying to @NYGirl5757 @jack and 3 others
I don’t want to be verified unless the verification process is opened up to everyone on equal terms. Right now it’s a system for doling our favors to friends of Twitter and for using revocation to punish people Twitter doesn’t like.","6,524","4,214",64.3K
Tesla,@Tesla,2023-04-02 19:39:05,"In Q1, we produced over 440k vehicles & delivered over 422k vehicles → ir.tesla.com
Tesla Vehicle Production & Deliveries and Date for Financial Results & Webcast for First Quarter...
AUSTIN, Texas, April 2, 2023 – In the first quarter, we produced over 440,000 vehicles and delivered over 422,000 vehicles.","2,962","1,230",23.2K
Elon Musk,@elonmusk,2023-04-02 19:07:51,"Great interview on AI CBS Mornings
@CBSMornings
·
Mar 26
Geoffrey Hinton, who works with Google and mentors AI's rising stars, started researching artificial intelligence over 40 years ago. https://cbsn.ws/3JDFjWw","5,198","2,763",33.1K
SpaceX,@SpaceX,2023-04-02 14:37:37,"Falcon 9’s first stage has landed on Landing Zone 4 0:16
1.4M views","4,202","1,195",39.4K
SpaceX,@SpaceX,2023-04-02 14:30:16,Liftoff! ,"4,159","1,086",40.1K
Elon Musk,@elonmusk,2023-04-02 09:22:23,Feels like the future,"2,351","2,702",37.7K
Elon Musk,@elonmusk,2023-04-02 06:40:37,Walked whole Cybertruck production line at Giga Texas for several hours earlier today – gonna be awesome!,"8,389","6,476",116.6K
Elon Musk,@elonmusk,2023-04-02 05:44:40,"Also, their feed is the Twitter equivalent of diarrhea. It’s unreadable.

They would have far more real followers if they only posted their top articles. 

Same applies to all publications.","8,470","3,815",79.6K
Elon Musk,@elonmusk,2023-04-02 05:16:04,"The real tragedy of 
@NYTimes
 is that their propaganda isn’t even interesting",31.5K,11.9K,237.8K
Elon Musk,@elonmusk,2023-04-02 05:01:40," @CommunityNotes
 ","3,245","2,515",41.7K
Elon Musk,@elonmusk,2023-04-01 19:16:11,Me after 1 day of not eating sugar ,26.1K,22.9K,509.1K
Elon Musk,@elonmusk,2023-04-01 16:53:08,"Wait for it … Tesla
@Tesla
·
Apr 1
Cybertruck crash test",16.1K,22.5K,204.1K
Elon Musk,@elonmusk,2023-04-01 08:42:39,"This is most of the recommendation code. In the coming weeks, we will open source literally everything that contributes to showing a tweet, such that the output can be at least roughly approximated.","2,063","1,694",18.7K
Elon Musk,@elonmusk,2023-04-01 04:48:55,Don’t Look Up … but AGI instead of comet,"7,091","5,861",82.6K
Elon Musk,@elonmusk,2023-04-01 03:10:07,We live in the most interesting of times,35.4K,29.4K,277.2K
Elon Musk,@elonmusk,2023-03-31 20:52:13,Twitter will be updating its recommendation algorithm based on user suggestions every 24 to 48 hours,12.1K,"8,095",104.1K
Elon Musk,@elonmusk,2023-03-31 19:09:38,"Twitter open source Spaces discussion happening now! Twitter Engineering
Host
The Algorithm goes open source
1.6M tuned in
·
Mar 31
·
1:11:10
Play recording","7,613","3,568",47.5K
Elon Musk,@elonmusk,2023-03-31 18:55:30,"Twitter recommendation source code now available to all on GitHub github.com
GitHub - twitter/the-algorithm: Source code for Twitter's Recommendation Algorithm
Source code for Twitter's Recommendation Algorithm - GitHub - twitter/the-algorithm: Source code for Twitter's Recommendation Algorithm",24.5K,"5,078",125.1K
Elon Musk,@elonmusk,2023-03-31 18:46:19,"Most of the recommendation algorithm will be made open source today. The rest will follow.

Acid test is that independent third parties should be able to determine, with reasonable accuracy, what will probably be shown to users.

No doubt, many embarrassing issues will be… Show more Twitter Engineering
@TwitterEng
·
Mar 31
Today marks a new era of transparency for Twitter. 

We’re sharing much of the source code that powers our platform with the world. Visit our blog to learn more about this initiative: https://blog.twitter.com/en_us/topics/company/2023/a-new-era-of-transparency-for-twitter…
Show this thread","9,740","3,513",67.2K
Elon Musk,@elonmusk,2023-03-31 17:53:33,Just borrowed my friend’s jacket wdyt?,"5,244",20K,137.6K
